品項,價格,商家
【滿額抽購買權】【PS5】PlayStation®5 主機（光碟版）【農曆過年前到貨】,15980,有閑娛樂電商
PS5 次世代主機 / 數位版 無光碟機 / 台灣公司貨【電玩國度】,12980,有閑娛樂電商
【滿額抽購買權】【PS5】PlayStation®5 主機（光碟版）【農曆過年前到貨】,15980,有閑娛樂電商
PS5 PlayStation 5 遊戲主機 + 精選遊戲組 [全新現貨 + 預購],22980,蝦皮商城
PS5 次世代主機 / 台灣公司貨【電玩國度】,15980,有閑娛樂電商
全新未拆現貨 可面交 PlayStation5 PS5 光碟版主機 台灣公司貨,32000,有閑娛樂電商
【少量釋出 限時免運】PS5 光碟版主機 825G 台灣公司貨 冰河白 單主機 非 數位版 (9.5折),33280,松果購物
PS5 次世代主機 / 台灣公司貨【電玩國度】,15980,有閑娛樂電商
【現貨代購 】PS5主機 光碟版 日本公司貨 保固一個月+ 小小大冒險+湯姆克蘭西典藏版+3周邊 (8.4折),33500,松果購物
SONY Playstation 5 PS5 主機 光碟版/數位版 台灣公司貨 預購 現貨 賣場【就是要玩】,12980,蝦皮商城
PlayStation 5 主機 (PS5),22990,PChome24h購物
PS5 次世代主機 / 數位版 無光碟機 / 台灣公司貨【電玩國度】,12980,有閑娛樂電商
PlayStation 5 主機 (PS5),15980,PChome24h購物
全新未拆現貨 可面交 PlayStation5 PS5 光碟版主機 台灣公司貨,32000,有閑娛樂電商
【現貨馬上寄】全新 SONY PS5主機 光碟版主機 數位版主機 附發票 台灣公司貨 PlayStation 5,19999,蝦皮商城
【PS5】PlayStation 5 主機 (有現貨可以出!!),15980,蝦皮商城
PS5 PlayStation5 光碟版 主機組【現貨】【GAME休閒館】,24130,蝦皮商城
【GAME休閒館】尾牙豪華包 1/8出貨★ PS5《光碟版 主機》+《第二把PS5無線控制器》+《決勝時刻：黑色行動 冷戰》+《蜘蛛人邁爾斯》+《小小大冒險》(台灣公司貨),23930,momo摩天商城
【GAME休閒館】1/8出貨★ PS5《光碟版 主機》+《第二把PS5無線控制器》+《決勝時刻：黑色行動 冷戰》+《蜘蛛人邁爾斯》+《小小大冒險》(台灣公司貨),23930,momo摩天商城
PS5 光碟版主機+6片指定遊戲+PS 遙控器【GAME休閒館】,24980,蝦皮商城
GENKI ShadowCast 台灣公司貨 支援 Switch PS5 影音傳輸棒 讓你在電腦上暢玩主機遊戲,1690,momo摩天商城
全新現貨 PS5 主機 雙手把 光碟版主機 保固一年,23500,樂天市場購物網
Sony PlayStation5 PS5 主機組合 現貨 廠商直送,29990,蝦皮商城
Sony PlayStation5 PS5 光碟版主機配套 廠商直送 現貨,28900,蝦皮商城
SONY PlayStation 5 PS5 光碟版主機組合 廠商直送 現貨,29980,蝦皮商城
PC可用 PS4 主機專用 DS4 副廠手把(PS5樣式) 無線藍芽震動手把 支援震動 連發【板橋魔力】,890,Yahoo奇摩拍賣-萊爾富運費優惠
【御玩家】PS5 光碟版主機 組合包 豪華組合包 台灣公司貨,35000,蝦皮商城
SONY 索尼 PlayStation 5 PS5主機 光碟版 遊戲周邊同捆組 現貨 超高速SSD 光線追蹤 8K 輸出,39999,蝦皮商城
鈦星人M3千兆遊戲路由穿牆王 PS5/PS4/Xbox/Switch主機遊戲加速器 怪物獵人下載聯機加速NAT優化,1286,京東台灣
PS5 主機 台灣公司貨 PS5 PlayStation5 光碟機版+遊戲片3片+會籍卡,29900,蝦皮商城
PS5 主機 SONY 原廠 無線 控制器 手把 DualSense 5 午夜黑 黑色 全新台灣公司貨【台中大眾電玩】,2390,Yahoo奇摩拍賣-萊爾富運費優惠
光碟版【PS5主機】 標準版 主機 ＋指定遊戲9款 秘境探險4 地平線 期待黎明 FFNT 【台灣公司貨】台中星光電玩,32100,蝦皮商城
Sony PS5 PlayStation 5 Media Remote 遊戲 主機 遙控器 矽膠 保護套 配件 輕薄防摔,79,蝦皮商城
Ps5手柄套 「高端貼膜」PS5手柄貼紙索尼ps5全包貼膜光驅版數字版痛貼痛機貼游戲主機高端 酷男,660,Yahoo奇摩超級商城
